parent,run_id,task,policy,n_children,n_artifact,n_silent,top1_expected,raw_regret,escalated_expected,low_wall_s,all_full_runtime_s,restart_cost_s,continuation_cost_s
denoising-dirty-documents__4cb4122fb9814bf884cdafecf62298e9,cards_senior_0804.jsonl:23,denoising-dirty-documents,top1_text_run_oof,2,0,2,0.0,0.16197999999999999,1.0,240.3,5440.142480649054,1363.3703184083104,1243.3703184083104
denoising-dirty-documents__4cb4122fb9814bf884cdafecf62298e9,cards_senior_0804.jsonl:23,denoising-dirty-documents,top1_combined_run_oof,2,0,2,0.0,0.16197999999999999,1.0,240.3,5440.142480649054,1363.3703184083104,1243.3703184083104
denoising-dirty-documents__4cb4122fb9814bf884cdafecf62298e9,cards_senior_0804.jsonl:23,denoising-dirty-documents,top1_scalar_loto,2,0,2,0.0,0.16197999999999999,1.0,240.3,5440.142480649054,1363.3703184083104,1243.3703184083104
denoising-dirty-documents__4cb4122fb9814bf884cdafecf62298e9,cards_senior_0804.jsonl:23,denoising-dirty-documents,top1_text_loto,2,0,2,0.0,0.16197999999999999,1.0,240.3,5440.142480649054,1363.3703184083104,1243.3703184083104
denoising-dirty-documents__4cb4122fb9814bf884cdafecf62298e9,cards_senior_0804.jsonl:23,denoising-dirty-documents,top1_combined_loto,2,0,2,0.0,0.16197999999999999,1.0,240.3,5440.142480649054,1363.3703184083104,1243.3703184083104
denoising-dirty-documents__4cb4122fb9814bf884cdafecf62298e9,cards_senior_0804.jsonl:23,denoising-dirty-documents,oracle_top1,2,0,2,1.0,0.0,1.0,240.3,5440.142480649054,4557.372162240744,4437.372162240744
denoising-dirty-documents__4cb4122fb9814bf884cdafecf62298e9,cards_senior_0804.jsonl:23,denoising-dirty-documents,all_escalate,2,0,2,1.0,0.0,2.0,240.3,5440.142480649054,5680.442480649054,5440.442480649054
denoising-dirty-documents__4cb4122fb9814bf884cdafecf62298e9,cards_senior_0804.jsonl:23,denoising-dirty-documents,full_external,2,0,2,1.0,0.0,2.0,240.3,5440.142480649054,5440.142480649054,5440.142480649054
denoising-dirty-documents__6dd95edcab0e45559bb741b08b038a76,cards_senior_0731.jsonl:13,denoising-dirty-documents,random_expected,2,0,2,0.5,0.001899999999999999,1.0,240.3,10472.243616238236,5476.421808119118,5356.421808119118
denoising-dirty-documents__6dd95edcab0e45559bb741b08b038a76,cards_senior_0731.jsonl:13,denoising-dirty-documents,stdout_tfidf,2,0,2,1.0,0.0,1.0,240.3,10472.243616238236,6256.987997110188,6136.987997110188
denoising-dirty-documents__6dd95edcab0e45559bb741b08b038a76,cards_senior_0731.jsonl:13,denoising-dirty-documents,top1_scalar_run_oof,2,0,2,0.0,0.003799999999999998,1.0,240.3,10472.243616238236,4695.855619128049,4575.855619128049
denoising-dirty-documents__6dd95edcab0e45559bb741b08b038a76,cards_senior_0731.jsonl:13,denoising-dirty-documents,top1_text_run_oof,2,0,2,0.0,0.003799999999999998,1.0,240.3,10472.243616238236,4695.855619128049,4575.855619128049
